"County,State",MedIncome,Population,Value
"Autauga,Alabama",41618,54571.0,224900.0
"Baldwin,Alabama",45596,182265.0,310000.0
"Barbour,Alabama",35199,27457.0,169500.0
"Bibb,Alabama",30254,22915.0,188700.0
"Blount,Alabama",34976,57322.0,185000.0
"Bullock,Alabama",28797,10914.0,
"Butler,Alabama",36450,20947.0,109900.0
"Calhoun,Alabama",37120,118572.0,132900.0
"Chambers,Alabama",33859,34215.0,
"Cherokee,Alabama",35505,25989.0,219000.0
"Chilton,Alabama",34798,43643.0,170450.0
"Choctaw,Alabama",39280,13859.0,
"Clarke,Alabama",36361,25833.0,159000.0
"Clay,Alabama",33530,13932.0,
"Cleburne,Alabama",36159,14972.0,
"Coffee,Alabama",43094,49948.0,173000.0
"Colbert,Alabama",38378,54428.0,170000.0
"Conecuh,Alabama",32656,13228.0,
"Coosa,Alabama",31328,11539.0,
"Covington,Alabama",35651,37765.0,147000.0
"Crenshaw,Alabama",36645,13906.0,137500.0
"Cullman,Alabama",39607,80406.0,179900.0
"Dale,Alabama",36613,50251.0,129900.0
"Dallas,Alabama",36026,43820.0,99000.0
"DeKalb,Alabama",31916,71109.0,
"Elmore,Alabama",42269,79303.0,227900.0
"Escambia,Alabama",32996,38319.0,134900.0
"Etowah,Alabama",36918,104430.0,152479.0
"Fayette,Alabama",34966,17241.0,119900.0
"Franklin,Alabama",34318,31704.0,149900.0
"Geneva,Alabama",35192,26790.0,
"Greene,Alabama",32359,9045.0,
"Hale,Alabama",36585,15760.0,149900.0
"Henry,Alabama",40360,17302.0,196450.0
"Houston,Alabama",42398,101547.0,179900.0
"Jackson,Alabama",36567,53227.0,175000.0
"Jefferson,Alabama",54730,658466.0,221800.0
"Lamar,Alabama",33496,14564.0,
"Lauderdale,Alabama",37151,92709.0,182237.5
"Lawrence,Alabama",34125,34339.0,139900.0
"Lee,Alabama",38036,140247.0,279000.0
"Limestone,Alabama",42546,82782.0,258000.0
"Lowndes,Alabama",38991,11299.0,127690.0
"Macon,Alabama",32919,21452.0,
"Madison,Alabama",51445,334811.0,250000.0
"Marengo,Alabama",39801,21027.0,169700.0
"Marion,Alabama",33264,30776.0,149900.0
"Marshall,Alabama",36044,93019.0,210500.0
"Mobile,Alabama",38243,412992.0,169179.0
"Monroe,Alabama",33456,23068.0,117684.0
"Montgomery,Alabama",43688,229363.0,183999.0
"Morgan,Alabama",39991,119490.0,194045.0
"Perry,Alabama",30535,10591.0,
"Pickens,Alabama",32551,19746.0,
"Pike,Alabama",37359,32899.0,158500.0
"Randolph,Alabama",32411,22913.0,248700.0
"Russell,Alabama",33104,52947.0,139900.0
"St. Clair,Alabama",38569,83593.0,
